"No.","Time","Source","Destination","Protocol","Length","Info","Data"
"7850","3.971276","","","CAN","40","ID: 589 (0x24d), Length: 5","000000099e"
"7874","3.982423","","","CAN","40","ID: 589 (0x24d), Length: 5","000000098c"
"7892","3.993568","","","CAN","40","ID: 589 (0x24d), Length: 5","000000097a"
"7915","4.004581","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000967"
"7937","4.015713","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000955"
"7955","4.026891","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000943"
"7981","4.037840","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000931"
"8001","4.048603","","","CAN","40","ID: 589 (0x24d), Length: 5","000000091f"
"8022","4.059628","","","CAN","40","ID: 589 (0x24d), Length: 5","000000090d"
"8045","4.070722","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008fb"
"8069","4.081807","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008e9"
"8088","4.093066","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008d7"
"8111","4.104058","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008c5"
"8130","4.115247","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008b2"
"8150","4.126318","","","CAN","40","ID: 589 (0x24d), Length: 5","00000008a0"
"8175","4.137320","","","CAN","40","ID: 589 (0x24d), Length: 5","000000088e"
